loan_id,age,annual_income,home_ownership,employment_length,loan_purpose,loan_grade,loan_amount,interest_rate,default_flag,loan_to_income_ratio,previous_default_flag,credit_history_length,default_status,previous_default_status,age_group,income_segment,loan_amount_segment,interest_rate_segment,loan_to_income_segment,credit_history_segment,employment_length_segment,grade_risk_score,interest_risk_score,dti_risk_score,previous_default_risk_score,income_risk_score,risk_score,risk_level
22,25,137000,Rent,9.0,Personal,E,34800,16.77,0,0.25,Y,2,Non-Default,Previous Default,18-25,Upper-Mid Income,Very Large Loan,High Rate,Medium DTI,Very Short History,6-10 Years,50,15,10,15,0,90,Very High Risk
23,22,65000,Rent,4.0,Education,D,34000,17.58,1,0.52,N,4,Default,No Previous Default,18-25,Mid Income,Very Large Loan,High Rate,Very High DTI,Short History,4-5 Years,35,15,25,0,0,75,High Risk
24,24,10980,Own,0.0,Personal,A,1500,7.29,0,0.14,N,3,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Very Low Rate,Low DTI,Very Short History,0-1 Years,5,5,5,0,10,25,Low Risk
25,22,80000,Rent,3.0,Personal,D,33950,14.54,1,0.42,Y,4,Default,Previous Default,18-25,Mid Income,Very Large Loan,Medium Rate,High DTI,Short History,2-3 Years,35,10,20,15,0,80,Very High Risk
26,24,67746,Rent,8.0,Homeimprovement,C,33000,12.68,1,0.49,N,3,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Medium Rate,High DTI,Very Short History,6-10 Years,20,10,20,0,0,50,Medium Risk
27,21,11000,Mortgage,3.0,Venture,E,4575,17.74,1,0.42,Y,3,Default,Previous Default,18-25,Low Income,Very Small Loan,High Rate,High DTI,Very Short History,2-3 Years,50,15,20,15,10,100,Very High Risk
28,23,11000,Own,0.0,Personal,A,1400,9.32,0,0.13,N,3,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Low DTI,Very Short History,0-1 Years,5,5,5,0,10,25,Low Risk
29,24,65000,Rent,6.0,Homeimprovement,B,32500,9.99,1,0.5,N,3,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Low Rate,High DTI,Very Short History,6-10 Years,10,5,25,0,0,40,Medium Risk
30,21,11389,Other,5.0,Education,C,4000,12.84,1,0.35,Y,2,Default,Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,High DTI,Very Short History,4-5 Years,20,10,20,15,10,75,High Risk
31,21,11520,Own,5.0,Medical,B,2000,11.12,1,0.17,N,3,Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Low DTI,Very Short History,4-5 Years,10,5,5,0,10,30,Medium Risk
32,25,120000,Rent,2.0,Venture,A,32000,6.62,0,0.27,N,2,Non-Default,No Previous Default,18-25,Upper-Mid Income,Very Large Loan,Very Low Rate,Medium DTI,Very Short History,2-3 Years,5,5,10,0,0,20,Low Risk
33,26,95000,Rent,7.0,Homeimprovement,C,31050,14.17,1,0.33,Y,3,Default,Previous Default,26-35,Mid Income,Very Large Loan,Medium Rate,High DTI,Very Short History,6-10 Years,20,10,20,15,0,65,High Risk
34,25,306000,Rent,2.0,Debtconsolidation,C,24250,13.85,0,0.08,N,3,Non-Default,No Previous Default,18-25,High Income,Large Loan,Medium Rate,Very Low DTI,Very Short History,2-3 Years,20,10,5,0,0,35,Medium Risk
35,26,300000,Mortgage,10.0,Medical,C,7800,13.49,0,0.03,N,4,Non-Default,No Previous Default,26-35,High Income,Small Loan,Medium Rate,Very Low DTI,Short History,6-10 Years,20,10,5,0,0,35,Medium Risk
36,21,12000,Own,5.0,Education,A,2500,7.51,1,0.21,N,4,Default,No Previous Default,18-25,Low Income,Very Small Loan,Very Low Rate,Medium DTI,Short History,4-5 Years,5,5,10,0,10,30,Medium Risk
37,22,48000,Rent,1.0,Education,E,30000,18.39,1,0.63,N,2,Default,No Previous Default,18-25,Lower-Mid Income,Very Large Loan,High Rate,Very High DTI,Very Short History,0-1 Years,50,15,25,0,0,90,Very High Risk
38,24,64000,Rent,8.0,Debtconsolidation,D,30000,14.54,1,0.47,Y,3,Default,Previous Default,18-25,Mid Income,Very Large Loan,Medium Rate,High DTI,Very Short History,6-10 Years,35,10,20,15,0,80,Very High Risk
39,25,75000,Rent,4.0,Homeimprovement,D,30000,16.89,1,0.4,Y,4,Default,Previous Default,18-25,Mid Income,Very Large Loan,High Rate,High DTI,Short History,4-5 Years,35,15,20,15,0,85,Very High Risk
40,23,71500,Rent,3.0,Debtconsolidation,D,30000,15.31,1,0.42,N,4,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Medium Rate,High DTI,Short History,2-3 Years,35,10,20,0,0,65,High Risk
41,26,62050,Rent,6.0,Medical,E,30000,17.99,1,0.41,N,2,Default,No Previous Default,26-35,Mid Income,Very Large Loan,High Rate,High DTI,Very Short History,6-10 Years,50,15,20,0,0,85,Very High Risk
42,24,12000,Own,4.0,Venture,B,2500,12.69,1,0.21,N,3,Default,No Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Medium DTI,Very Short History,4-5 Years,10,10,10,0,10,40,Medium Risk
43,26,300000,Mortgage,10.0,Venture,A,20000,7.88,0,0.07,N,4,Non-Default,No Previous Default,26-35,High Income,Large Loan,Very Low Rate,Very Low DTI,Short History,6-10 Years,5,5,5,0,0,15,Low Risk
44,23,300000,Own,1.0,Education,F,24250,19.41,0,0.08,Y,2,Non-Default,Previous Default,18-25,High Income,Large Loan,High Rate,Very Low DTI,Very Short History,0-1 Years,65,15,5,15,0,100,Very High Risk
45,26,300000,Own,9.0,Homeimprovement,B,10000,10.38,0,0.03,N,4,Non-Default,No Previous Default,26-35,High Income,Small Loan,Low Rate,Very Low DTI,Short History,6-10 Years,10,5,5,0,0,20,Low Risk
46,26,300000,Mortgage,0.0,Education,D,25000,15.33,0,0.08,N,3,Non-Default,No Previous Default,26-35,High Income,Large Loan,Medium Rate,Very Low DTI,Very Short History,0-1 Years,35,10,5,0,0,50,Medium Risk
47,25,300000,Mortgage,9.0,Homeimprovement,E,18000,16.45,0,0.06,N,3,Non-Default,No Previous Default,18-25,High Income,Large Loan,High Rate,Very Low DTI,Very Short History,6-10 Years,50,15,5,0,0,70,High Risk
48,26,80690,Rent,8.0,Personal,A,30000,7.49,1,0.37,N,3,Default,No Previous Default,26-35,Mid Income,Very Large Loan,Very Low Rate,High DTI,Very Short History,6-10 Years,5,5,20,0,0,30,Medium Risk
49,22,66300,Rent,4.0,Medical,B,30000,12.69,1,0.38,N,3,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Medium Rate,High DTI,Very Short History,4-5 Years,10,10,20,0,0,40,Medium Risk
50,26,89028,Rent,0.0,Debtconsolidation,A,30000,6.62,1,0.34,N,3,Default,No Previous Default,26-35,Mid Income,Very Large Loan,Very Low Rate,High DTI,Very Short History,0-1 Years,5,5,20,0,0,30,Medium Risk
51,24,78000,Rent,4.0,Debtconsolidation,D,30000,15.31,1,0.38,Y,4,Default,Previous Default,18-25,Mid Income,Very Large Loan,Medium Rate,High DTI,Short History,4-5 Years,35,10,20,15,0,80,Very High Risk
52,23,78000,Rent,7.0,Debtconsolidation,F,30000,18.62,1,0.38,Y,3,Default,Previous Default,18-25,Mid Income,Very Large Loan,High Rate,High DTI,Very Short History,6-10 Years,65,15,20,15,0,100,Very High Risk
53,23,92004,Rent,6.0,Personal,C,30000,15.23,1,0.33,Y,3,Default,Previous Default,18-25,Mid Income,Very Large Loan,Medium Rate,High DTI,Very Short History,6-10 Years,20,10,20,15,0,65,High Risk
54,23,97000,Rent,7.0,Venture,B,30000,10.65,1,0.31,N,2,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Low Rate,High DTI,Very Short History,6-10 Years,10,5,20,0,0,35,Medium Risk
55,25,120000,Rent,9.0,Education,A,30000,7.9,0,0.25,N,4,Non-Default,No Previous Default,18-25,Upper-Mid Income,Very Large Loan,Very Low Rate,Medium DTI,Short History,6-10 Years,5,5,10,0,0,20,Low Risk
56,26,280000,Rent,4.0,Personal,C,10000,15.96,0,0.04,Y,3,Non-Default,Previous Default,26-35,High Income,Small Loan,Medium Rate,Very Low DTI,Very Short History,4-5 Years,20,10,5,15,0,50,Medium Risk
57,26,277104,Rent,0.0,Venture,B,20000,11.48,0,0.07,N,3,Non-Default,No Previous Default,26-35,High Income,Large Loan,Low Rate,Very Low DTI,Very Short History,0-1 Years,10,5,5,0,0,20,Low Risk
58,23,277000,Own,3.0,Personal,A,35000,7.49,0,0.13,N,4,Non-Default,No Previous Default,18-25,High Income,Very Large Loan,Very Low Rate,Low DTI,Short History,2-3 Years,5,5,5,0,0,15,Low Risk
59,25,128000,Rent,9.0,Personal,A,30000,7.29,0,0.23,N,4,Non-Default,No Previous Default,18-25,Upper-Mid Income,Very Large Loan,Very Low Rate,Medium DTI,Short History,6-10 Years,5,5,10,0,0,20,Low Risk
60,24,12000,Own,2.0,Venture,E,1750,16.82,0,0.15,Y,3,Non-Default,Previous Default,18-25,Low Income,Very Small Loan,High Rate,Low DTI,Very Short History,2-3 Years,50,15,5,15,10,95,Very High Risk
61,21,131000,Rent,0.0,Venture,A,30000,5.99,0,0.23,N,4,Non-Default,No Previous Default,18-25,Upper-Mid Income,Very Large Loan,Very Low Rate,Medium DTI,Short History,0-1 Years,5,5,10,0,0,20,Low Risk
62,22,275000,Own,6.0,Venture,B,12000,11.58,0,0.04,N,2,Non-Default,No Previous Default,18-25,High Income,Medium Loan,Low Rate,Very Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
63,26,263000,Mortgage,0.0,Education,B,10000,10.99,1,0.04,N,4,Default,No Previous Default,26-35,High Income,Small Loan,Low Rate,Very Low DTI,Short History,0-1 Years,10,5,5,0,0,20,Low Risk
64,25,221850,Mortgage,9.0,Medical,D,25000,15.7,1,0.1,N,2,Default,No Previous Default,18-25,High Income,Large Loan,Medium Rate,Very Low DTI,Very Short History,6-10 Years,35,10,5,0,0,50,Medium Risk
65,22,70000,Rent,6.0,Education,D,29100,15.99,1,0.42,N,3,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Medium Rate,High DTI,Very Short History,6-10 Years,35,10,20,0,0,65,High Risk
66,22,12000,Mortgage,7.0,Education,D,1500,14.84,0,0.13,Y,3,Non-Default,Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Low DTI,Very Short History,6-10 Years,35,10,5,15,10,75,High Risk
67,26,260000,Own,10.0,Homeimprovement,B,28000,10.99,0,0.11,N,3,Non-Default,No Previous Default,26-35,High Income,Very Large Loan,Low Rate,Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
68,25,259000,Mortgage,9.0,Homeimprovement,D,20000,14.42,0,0.08,Y,2,Non-Default,Previous Default,18-25,High Income,Large Loan,Medium Rate,Very Low DTI,Very Short History,6-10 Years,35,10,5,15,0,65,High Risk
69,24,255000,Mortgage,9.0,Education,A,9600,6.99,0,0.04,N,2,Non-Default,No Previous Default,18-25,High Income,Small Loan,Very Low Rate,Very Low DTI,Very Short History,6-10 Years,5,5,5,0,0,15,Low Risk
70,25,250000,Rent,2.0,Medical,C,25000,13.49,0,0.1,N,4,Non-Default,No Previous Default,18-25,High Income,Large Loan,Medium Rate,Very Low DTI,Short History,2-3 Years,20,10,5,0,0,35,Medium Risk
71,25,12000,Own,0.0,Medical,C,3000,13.48,1,0.25,N,3,Default,No Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Medium DTI,Very Short History,0-1 Years,20,10,10,0,10,50,Medium Risk
72,22,56950,Rent,6.0,Medical,A,28000,7.49,1,0.49,N,2,Default,No Previous Default,18-25,Lower-Mid Income,Very Large Loan,Very Low Rate,High DTI,Very Short History,6-10 Years,5,5,20,0,0,30,Medium Risk
73,21,12000,Own,6.0,Education,C,3000,13.61,1,0.25,Y,3,Default,Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Medium DTI,Very Short History,6-10 Years,20,10,10,15,10,65,High Risk
74,23,65000,Rent,2.0,Education,A,28000,7.9,1,0.43,N,2,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Very Low Rate,High DTI,Very Short History,2-3 Years,5,5,20,0,0,30,Medium Risk
75,26,85000,Rent,2.0,Venture,A,28000,7.49,1,0.33,N,3,Default,No Previous Default,26-35,Mid Income,Very Large Loan,Very Low Rate,High DTI,Very Short History,2-3 Years,5,5,20,0,0,30,Medium Risk
76,26,12000,Own,2.0,Education,A,6100,7.51,1,0.51,N,3,Default,No Previous Default,26-35,Low Income,Small Loan,Very Low Rate,Very High DTI,Very Short History,2-3 Years,5,5,25,0,10,45,Medium Risk
77,22,88000,Rent,6.0,Venture,B,28000,9.91,1,0.32,N,3,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Low Rate,High DTI,Very Short History,6-10 Years,10,5,20,0,0,35,Medium Risk
78,21,12000,Own,0.0,Personal,C,4200,13.48,1,0.35,Y,4,Default,Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,High DTI,Short History,0-1 Years,20,10,20,15,10,75,High Risk
79,22,12000,Own,6.0,Debtconsolidation,A,4750,7.14,1,0.4,N,2,Default,No Previous Default,18-25,Low Income,Very Small Loan,Very Low Rate,High DTI,Very Short History,6-10 Years,5,5,20,0,10,40,Medium Risk
80,24,83004,Rent,0.0,Venture,D,28000,15.99,1,0.34,Y,4,Default,Previous Default,18-25,Mid Income,Very Large Loan,Medium Rate,High DTI,Short History,0-1 Years,35,10,20,15,0,80,Very High Risk
81,24,250000,Rent,2.0,Education,C,18000,12.98,0,0.07,Y,3,Non-Default,Previous Default,18-25,High Income,Large Loan,Medium Rate,Very Low DTI,Very Short History,2-3 Years,20,10,5,15,0,50,Medium Risk
82,25,100000,Rent,5.0,Debtconsolidation,B,28000,12.69,0,0.28,N,3,Non-Default,No Previous Default,18-25,Mid Income,Very Large Loan,Medium Rate,Medium DTI,Very Short History,4-5 Years,10,10,10,0,0,30,Medium Risk
83,26,110000,Rent,10.0,Education,A,28000,8.9,0,0.25,N,2,Non-Default,No Previous Default,26-35,Upper-Mid Income,Very Large Loan,Low Rate,Medium DTI,Very Short History,6-10 Years,5,5,10,0,0,20,Low Risk
84,26,12000,Own,0.0,Debtconsolidation,A,2700,7.49,1,0.23,N,4,Default,No Previous Default,26-35,Low Income,Very Small Loan,Very Low Rate,Medium DTI,Short History,0-1 Years,5,5,10,0,10,30,Medium Risk
85,22,108000,Rent,6.0,Education,B,28000,10.99,1,0.26,N,4,Default,No Previous Default,18-25,Upper-Mid Income,Very Large Loan,Low Rate,Medium DTI,Short History,6-10 Years,10,5,10,0,0,25,Low Risk
86,23,151200,Rent,7.0,Debtconsolidation,B,28000,11.11,0,0.19,N,2,Non-Default,No Previous Default,18-25,Upper-Mid Income,Very Large Loan,Low Rate,Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
87,24,69000,Rent,2.0,Homeimprovement,A,27600,7.49,1,0.4,N,2,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Very Low Rate,High DTI,Very Short History,2-3 Years,5,5,20,0,0,30,Medium Risk
88,21,12000,Mortgage,5.0,Debtconsolidation,E,3250,15.68,1,0.27,Y,3,Default,Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Medium DTI,Very Short History,4-5 Years,50,10,10,15,10,95,Very High Risk
89,22,70000,Rent,4.0,Education,C,27500,13.06,1,0.39,Y,3,Default,Previous Default,18-25,Mid Income,Very Large Loan,Medium Rate,High DTI,Very Short History,4-5 Years,20,10,20,15,0,65,High Risk
90,22,240000,Own,6.0,Personal,B,25000,10.99,0,0.1,N,2,Non-Default,No Previous Default,18-25,High Income,Large Loan,Low Rate,Very Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
91,26,73200,Rent,5.0,Venture,D,27050,15.62,1,0.37,Y,2,Default,Previous Default,26-35,Mid Income,Very Large Loan,Medium Rate,High DTI,Very Short History,4-5 Years,35,10,20,15,0,80,Very High Risk
92,24,83000,Rent,5.0,Personal,C,27000,13.49,1,0.33,Y,2,Default,Previous Default,18-25,Mid Income,Very Large Loan,Medium Rate,High DTI,Very Short History,4-5 Years,20,10,20,15,0,65,High Risk
93,24,73399,Rent,0.0,Venture,D,27000,15.31,1,0.37,N,3,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Medium Rate,High DTI,Very Short History,0-1 Years,35,10,20,0,0,65,High Risk
94,23,62500,Rent,7.0,Medical,B,26000,11.71,1,0.42,N,2,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Low Rate,High DTI,Very Short History,6-10 Years,10,5,20,0,0,35,Medium Risk
95,23,120000,Rent,1.0,Education,B,25600,12.69,0,0.21,N,3,Non-Default,No Previous Default,18-25,Upper-Mid Income,Very Large Loan,Medium Rate,Medium DTI,Very Short History,0-1 Years,10,10,10,0,0,30,Medium Risk
96,24,12360,Own,2.0,Medical,C,1600,13.57,0,0.13,N,3,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Low DTI,Very Short History,2-3 Years,20,10,5,0,10,45,Medium Risk
97,22,60000,Rent,0.0,Venture,B,25475,10.99,1,0.42,N,3,Default,No Previous Default,18-25,Lower-Mid Income,Very Large Loan,Low Rate,High DTI,Very Short History,0-1 Years,10,5,20,0,0,35,Medium Risk
98,25,234000,Mortgage,3.0,Medical,C,20000,14.27,0,0.09,Y,4,Non-Default,Previous Default,18-25,High Income,Large Loan,Medium Rate,Very Low DTI,Short History,2-3 Years,20,10,5,15,0,50,Medium Risk
99,24,234000,Own,8.0,Homeimprovement,B,20000,8.88,0,0.09,N,4,Non-Default,No Previous Default,18-25,High Income,Large Loan,Low Rate,Very Low DTI,Short History,6-10 Years,10,5,5,0,0,20,Low Risk
100,26,234000,Mortgage,10.0,Homeimprovement,B,21600,12.18,0,0.09,N,3,Non-Default,No Previous Default,26-35,High Income,Large Loan,Medium Rate,Very Low DTI,Very Short History,6-10 Years,10,10,5,0,0,25,Low Risk
101,25,221004,Mortgage,6.0,Debtconsolidation,D,11900,14.42,1,0.05,Y,3,Default,Previous Default,18-25,High Income,Medium Loan,Medium Rate,Very Low DTI,Very Short History,6-10 Years,35,10,5,15,0,65,High Risk
102,26,232500,Mortgage,0.0,Medical,C,25000,14.17,0,0.11,Y,2,Non-Default,Previous Default,26-35,High Income,Large Loan,Medium Rate,Low DTI,Very Short History,0-1 Years,20,10,5,15,0,50,Medium Risk
103,25,230000,Mortgage,5.0,Medical,C,35000,13.99,0,0.15,N,4,Non-Default,No Previous Default,18-25,High Income,Very Large Loan,Medium Rate,Low DTI,Short History,4-5 Years,20,10,5,0,0,35,Medium Risk
104,23,83000,Rent,7.0,Education,B,25300,10.99,1,0.3,N,3,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Low Rate,Medium DTI,Very Short History,6-10 Years,10,5,20,0,0,35,Medium Risk
105,22,12600,Mortgage,4.0,Personal,A,2000,5.42,1,0.16,N,4,Default,No Previous Default,18-25,Low Income,Very Small Loan,Very Low Rate,Low DTI,Short History,4-5 Years,5,5,5,0,10,25,Low Risk
106,25,12600,Own,3.0,Personal,C,1750,13.61,0,0.14,N,3,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Low DTI,Very Short History,2-3 Years,20,10,5,0,10,45,Medium Risk
107,21,42500,Rent,3.0,Education,C,25000,12.73,1,0.59,Y,3,Default,Previous Default,18-25,Lower-Mid Income,Large Loan,Medium Rate,Very High DTI,Very Short History,2-3 Years,20,10,25,15,0,70,High Risk
108,24,41000,Rent,2.0,Homeimprovement,D,25000,15.31,1,0.61,N,3,Default,No Previous Default,18-25,Lower-Mid Income,Large Loan,Medium Rate,Very High DTI,Very Short History,2-3 Years,35,10,25,0,0,70,High Risk
109,25,12816,Own,0.0,Debtconsolidation,C,3000,12.87,1,0.23,Y,4,Default,Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Medium DTI,Short History,0-1 Years,20,10,10,15,10,65,High Risk
110,24,12960,Mortgage,1.0,Homeimprovement,B,3650,9.91,1,0.28,N,3,Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Medium DTI,Very Short History,0-1 Years,10,5,10,0,10,35,Medium Risk
111,26,226000,Mortgage,4.0,Homeimprovement,B,20000,11.49,0,0.09,N,4,Non-Default,No Previous Default,26-35,High Income,Large Loan,Low Rate,Very Low DTI,Short History,4-5 Years,10,5,5,0,0,20,Low Risk
112,25,225000,Mortgage,0.0,Homeimprovement,E,30000,19.91,0,0.13,Y,2,Non-Default,Previous Default,18-25,High Income,Very Large Loan,High Rate,Low DTI,Very Short History,0-1 Years,50,15,5,15,0,85,Very High Risk
113,26,213000,Mortgage,6.0,Education,B,35000,10.65,1,0.16,N,2,Default,No Previous Default,26-35,High Income,Very Large Loan,Low Rate,Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
114,24,225000,Rent,0.0,Medical,B,6000,10.99,0,0.03,N,4,Non-Default,No Previous Default,18-25,High Income,Small Loan,Low Rate,Very Low DTI,Short History,0-1 Years,10,5,5,0,0,20,Low Risk
115,24,12960,Mortgage,0.0,Debtconsolidation,B,4500,11.83,1,0.35,N,4,Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,High DTI,Short History,0-1 Years,10,5,20,0,10,45,Medium Risk
116,23,12996,Own,0.0,Debtconsolidation,C,2400,13.49,1,0.18,Y,2,Default,Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Low DTI,Very Short History,0-1 Years,20,10,5,15,10,60,High Risk
117,22,42000,Rent,6.0,Medical,D,25000,14.59,1,0.6,Y,2,Default,Previous Default,18-25,Lower-Mid Income,Large Loan,Medium Rate,Very High DTI,Very Short History,6-10 Years,35,10,25,15,0,85,Very High Risk
118,26,48000,Rent,2.0,Education,B,25000,9.64,1,0.52,N,4,Default,No Previous Default,26-35,Lower-Mid Income,Large Loan,Low Rate,Very High DTI,Short History,2-3 Years,10,5,25,0,0,40,Medium Risk
119,25,12996,Own,1.0,Medical,D,3600,14.59,1,0.28,N,3,Default,No Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Medium DTI,Very Short History,0-1 Years,35,10,10,0,10,65,High Risk
120,22,12996,Own,1.0,Education,B,4750,10.99,1,0.37,N,3,Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,High DTI,Very Short History,0-1 Years,10,5,20,0,10,45,Medium Risk
121,25,42360,Rent,1.0,Education,E,25000,16.35,1,0.59,Y,3,Default,Previous Default,18-25,Lower-Mid Income,Large Loan,High Rate,Very High DTI,Very Short History,0-1 Years,50,15,25,15,0,100,Very High Risk
