loan_id,age,annual_income,home_ownership,employment_length,loan_purpose,loan_grade,loan_amount,interest_rate,default_flag,loan_to_income_ratio,previous_default_flag,credit_history_length,default_status,previous_default_status
37,22,48000,Rent,1.0,Education,E,30000,18.39,1,0.63,N,2,Default,No Previous Default
38,24,64000,Rent,8.0,Debtconsolidation,D,30000,14.54,1,0.47,Y,3,Default,Previous Default
39,25,75000,Rent,4.0,Homeimprovement,D,30000,16.89,1,0.4,Y,4,Default,Previous Default
40,23,71500,Rent,3.0,Debtconsolidation,D,30000,15.31,1,0.42,N,4,Default,No Previous Default
41,26,62050,Rent,6.0,Medical,E,30000,17.99,1,0.41,N,2,Default,No Previous Default
42,24,12000,Own,4.0,Venture,B,2500,12.69,1,0.21,N,3,Default,No Previous Default
43,26,300000,Mortgage,10.0,Venture,A,20000,7.88,0,0.07,N,4,Non-Default,No Previous Default
44,23,300000,Own,1.0,Education,F,24250,19.41,0,0.08,Y,2,Non-Default,Previous Default
45,26,300000,Own,9.0,Homeimprovement,B,10000,10.38,0,0.03,N,4,Non-Default,No Previous Default
46,26,300000,Mortgage,0.0,Education,D,25000,15.33,0,0.08,N,3,Non-Default,No Previous Default
47,25,300000,Mortgage,9.0,Homeimprovement,E,18000,16.45,0,0.06,N,3,Non-Default,No Previous Default
48,26,80690,Rent,8.0,Personal,A,30000,7.49,1,0.37,N,3,Default,No Previous Default
49,22,66300,Rent,4.0,Medical,B,30000,12.69,1,0.38,N,3,Default,No Previous Default
50,26,89028,Rent,0.0,Debtconsolidation,A,30000,6.62,1,0.34,N,3,Default,No Previous Default
51,24,78000,Rent,4.0,Debtconsolidation,D,30000,15.31,1,0.38,Y,4,Default,Previous Default
52,23,78000,Rent,7.0,Debtconsolidation,F,30000,18.62,1,0.38,Y,3,Default,Previous Default
53,23,92004,Rent,6.0,Personal,C,30000,15.23,1,0.33,Y,3,Default,Previous Default
54,23,97000,Rent,7.0,Venture,B,30000,10.65,1,0.31,N,2,Default,No Previous Default
55,25,120000,Rent,9.0,Education,A,30000,7.9,0,0.25,N,4,Non-Default,No Previous Default
56,26,280000,Rent,4.0,Personal,C,10000,15.96,0,0.04,Y,3,Non-Default,Previous Default
57,26,277104,Rent,0.0,Venture,B,20000,11.48,0,0.07,N,3,Non-Default,No Previous Default
58,23,277000,Own,3.0,Personal,A,35000,7.49,0,0.13,N,4,Non-Default,No Previous Default
59,25,128000,Rent,9.0,Personal,A,30000,7.29,0,0.23,N,4,Non-Default,No Previous Default
60,24,12000,Own,2.0,Venture,E,1750,16.82,0,0.15,Y,3,Non-Default,Previous Default
61,21,131000,Rent,0.0,Venture,A,30000,5.99,0,0.23,N,4,Non-Default,No Previous Default
62,22,275000,Own,6.0,Venture,B,12000,11.58,0,0.04,N,2,Non-Default,No Previous Default
63,26,263000,Mortgage,0.0,Education,B,10000,10.99,1,0.04,N,4,Default,No Previous Default
64,25,221850,Mortgage,9.0,Medical,D,25000,15.7,1,0.1,N,2,Default,No Previous Default
65,22,70000,Rent,6.0,Education,D,29100,15.99,1,0.42,N,3,Default,No Previous Default
66,22,12000,Mortgage,7.0,Education,D,1500,14.84,0,0.13,Y,3,Non-Default,Previous Default
67,26,260000,Own,10.0,Homeimprovement,B,28000,10.99,0,0.11,N,3,Non-Default,No Previous Default
68,25,259000,Mortgage,9.0,Homeimprovement,D,20000,14.42,0,0.08,Y,2,Non-Default,Previous Default
69,24,255000,Mortgage,9.0,Education,A,9600,6.99,0,0.04,N,2,Non-Default,No Previous Default
70,25,250000,Rent,2.0,Medical,C,25000,13.49,0,0.1,N,4,Non-Default,No Previous Default
71,25,12000,Own,0.0,Medical,C,3000,13.48,1,0.25,N,3,Default,No Previous Default
72,22,56950,Rent,6.0,Medical,A,28000,7.49,1,0.49,N,2,Default,No Previous Default
73,21,12000,Own,6.0,Education,C,3000,13.61,1,0.25,Y,3,Default,Previous Default
74,23,65000,Rent,2.0,Education,A,28000,7.9,1,0.43,N,2,Default,No Previous Default
75,26,85000,Rent,2.0,Venture,A,28000,7.49,1,0.33,N,3,Default,No Previous Default
76,26,12000,Own,2.0,Education,A,6100,7.51,1,0.51,N,3,Default,No Previous Default
77,22,88000,Rent,6.0,Venture,B,28000,9.91,1,0.32,N,3,Default,No Previous Default
78,21,12000,Own,0.0,Personal,C,4200,13.48,1,0.35,Y,4,Default,Previous Default
79,22,12000,Own,6.0,Debtconsolidation,A,4750,7.14,1,0.4,N,2,Default,No Previous Default
80,24,83004,Rent,0.0,Venture,D,28000,15.99,1,0.34,Y,4,Default,Previous Default
81,24,250000,Rent,2.0,Education,C,18000,12.98,0,0.07,Y,3,Non-Default,Previous Default
82,25,100000,Rent,5.0,Debtconsolidation,B,28000,12.69,0,0.28,N,3,Non-Default,No Previous Default
83,26,110000,Rent,10.0,Education,A,28000,8.9,0,0.25,N,2,Non-Default,No Previous Default
84,26,12000,Own,0.0,Debtconsolidation,A,2700,7.49,1,0.23,N,4,Default,No Previous Default
85,22,108000,Rent,6.0,Education,B,28000,10.99,1,0.26,N,4,Default,No Previous Default
86,23,151200,Rent,7.0,Debtconsolidation,B,28000,11.11,0,0.19,N,2,Non-Default,No Previous Default
87,24,69000,Rent,2.0,Homeimprovement,A,27600,7.49,1,0.4,N,2,Default,No Previous Default
88,21,12000,Mortgage,5.0,Debtconsolidation,E,3250,15.68,1,0.27,Y,3,Default,Previous Default
89,22,70000,Rent,4.0,Education,C,27500,13.06,1,0.39,Y,3,Default,Previous Default
90,22,240000,Own,6.0,Personal,B,25000,10.99,0,0.1,N,2,Non-Default,No Previous Default
91,26,73200,Rent,5.0,Venture,D,27050,15.62,1,0.37,Y,2,Default,Previous Default
92,24,83000,Rent,5.0,Personal,C,27000,13.49,1,0.33,Y,2,Default,Previous Default
93,24,73399,Rent,0.0,Venture,D,27000,15.31,1,0.37,N,3,Default,No Previous Default
94,23,62500,Rent,7.0,Medical,B,26000,11.71,1,0.42,N,2,Default,No Previous Default
95,23,120000,Rent,1.0,Education,B,25600,12.69,0,0.21,N,3,Non-Default,No Previous Default
96,24,12360,Own,2.0,Medical,C,1600,13.57,0,0.13,N,3,Non-Default,No Previous Default
97,22,60000,Rent,0.0,Venture,B,25475,10.99,1,0.42,N,3,Default,No Previous Default
98,25,234000,Mortgage,3.0,Medical,C,20000,14.27,0,0.09,Y,4,Non-Default,Previous Default
99,24,234000,Own,8.0,Homeimprovement,B,20000,8.88,0,0.09,N,4,Non-Default,No Previous Default
100,26,234000,Mortgage,10.0,Homeimprovement,B,21600,12.18,0,0.09,N,3,Non-Default,No Previous Default
101,25,221004,Mortgage,6.0,Debtconsolidation,D,11900,14.42,1,0.05,Y,3,Default,Previous Default
102,26,232500,Mortgage,0.0,Medical,C,25000,14.17,0,0.11,Y,2,Non-Default,Previous Default
103,25,230000,Mortgage,5.0,Medical,C,35000,13.99,0,0.15,N,4,Non-Default,No Previous Default
104,23,83000,Rent,7.0,Education,B,25300,10.99,1,0.3,N,3,Default,No Previous Default
105,22,12600,Mortgage,4.0,Personal,A,2000,5.42,1,0.16,N,4,Default,No Previous Default
106,25,12600,Own,3.0,Personal,C,1750,13.61,0,0.14,N,3,Non-Default,No Previous Default
107,21,42500,Rent,3.0,Education,C,25000,12.73,1,0.59,Y,3,Default,Previous Default
108,24,41000,Rent,2.0,Homeimprovement,D,25000,15.31,1,0.61,N,3,Default,No Previous Default
109,25,12816,Own,0.0,Debtconsolidation,C,3000,12.87,1,0.23,Y,4,Default,Previous Default
110,24,12960,Mortgage,1.0,Homeimprovement,B,3650,9.91,1,0.28,N,3,Default,No Previous Default
111,26,226000,Mortgage,4.0,Homeimprovement,B,20000,11.49,0,0.09,N,4,Non-Default,No Previous Default
112,25,225000,Mortgage,0.0,Homeimprovement,E,30000,19.91,0,0.13,Y,2,Non-Default,Previous Default
113,26,213000,Mortgage,6.0,Education,B,35000,10.65,1,0.16,N,2,Default,No Previous Default
114,24,225000,Rent,0.0,Medical,B,6000,10.99,0,0.03,N,4,Non-Default,No Previous Default
115,24,12960,Mortgage,0.0,Debtconsolidation,B,4500,11.83,1,0.35,N,4,Default,No Previous Default
116,23,12996,Own,0.0,Debtconsolidation,C,2400,13.49,1,0.18,Y,2,Default,Previous Default
117,22,42000,Rent,6.0,Medical,D,25000,14.59,1,0.6,Y,2,Default,Previous Default
118,26,48000,Rent,2.0,Education,B,25000,9.64,1,0.52,N,4,Default,No Previous Default
119,25,12996,Own,1.0,Medical,D,3600,14.59,1,0.28,N,3,Default,No Previous Default
120,22,12996,Own,1.0,Education,B,4750,10.99,1,0.37,N,3,Default,No Previous Default
121,25,42360,Rent,1.0,Education,E,25000,16.35,1,0.59,Y,3,Default,Previous Default
122,21,49000,Rent,4.0,Education,B,25000,10.99,1,0.51,N,2,Default,No Previous Default
123,25,225000,Mortgage,0.0,Venture,F,25000,18.67,0,0.11,N,2,Non-Default,No Previous Default
124,26,225000,Rent,1.0,Education,A,3000,9.32,0,0.01,N,4,Non-Default,No Previous Default
125,23,225000,Rent,8.0,Debtconsolidation,A,7500,8.63,0,0.03,N,2,Non-Default,No Previous Default
126,26,225000,Mortgage,2.0,Venture,B,25000,10.08,0,0.11,N,2,Non-Default,No Previous Default
127,22,49464,Rent,5.0,Personal,B,25000,11.83,1,0.51,N,3,Default,No Previous Default
128,23,50000,Rent,1.0,Debtconsolidation,A,25000,7.9,1,0.5,N,3,Default,No Previous Default
129,25,50000,Rent,4.0,Homeimprovement,A,25000,5.99,1,0.5,N,2,Default,No Previous Default
130,24,44000,Rent,2.0,Debtconsolidation,D,25000,15.33,1,0.57,N,2,Default,No Previous Default
131,23,50000,Rent,1.0,Venture,B,25000,11.83,1,0.5,N,4,Default,No Previous Default
132,22,50004,Rent,0.0,Venture,B,25000,10.36,1,0.5,N,2,Default,No Previous Default
133,22,50004,Rent,3.0,Venture,C,25000,12.23,1,0.5,N,3,Default,No Previous Default
134,22,52000,Rent,2.0,Education,B,25000,11.11,1,0.48,N,4,Default,No Previous Default
135,23,13200,Own,3.0,Debtconsolidation,A,4950,7.9,1,0.38,N,4,Default,No Previous Default
136,24,220000,Mortgage,1.0,Education,B,25000,11.58,0,0.11,N,2,Non-Default,No Previous Default
137,23,216000,Mortgage,5.0,Debtconsolidation,A,21000,8.9,0,0.1,N,3,Non-Default,No Previous Default
138,25,216000,Mortgage,2.0,Education,D,25000,16.07,0,0.12,N,3,Non-Default,No Previous Default
139,26,216000,Mortgage,10.0,Education,C,20000,14.22,0,0.09,Y,2,Non-Default,Previous Default
140,23,215000,Mortgage,7.0,Medical,C,35000,14.79,0,0.16,Y,3,Non-Default,Previous Default
141,26,215000,Mortgage,11.0,Education,A,12000,7.88,0,0.06,N,2,Non-Default,No Previous Default
142,23,52000,Rent,1.0,Personal,C,25000,13.22,1,0.48,N,2,Default,No Previous Default
143,26,46000,Rent,2.0,Debtconsolidation,D,25000,11.86,1,0.54,N,4,Default,No Previous Default
144,22,53000,Rent,5.0,Education,C,25000,13.43,1,0.47,Y,4,Default,Previous Default
145,26,47000,Rent,0.0,Homeimprovement,D,25000,15.28,1,0.53,Y,2,Default,Previous Default
146,23,47000,Rent,1.0,Venture,E,25000,17.93,1,0.53,N,2,Default,No Previous Default
147,23,13200,Mortgage,2.0,Education,B,1400,9.25,0,0.11,N,4,Non-Default,No Previous Default
148,21,13200,Own,0.0,Venture,C,4500,12.98,1,0.34,N,4,Default,No Previous Default
149,22,210000,Mortgage,6.0,Venture,B,16000,10.62,0,0.08,N,4,Non-Default,No Previous Default
150,26,210000,Own,10.0,Personal,B,22000,11.83,0,0.1,N,4,Non-Default,No Previous Default
151,26,48000,Rent,5.0,Venture,F,25000,18.43,1,0.52,N,2,Default,No Previous Default
152,22,54996,Rent,6.0,Education,B,25000,10.99,1,0.45,N,4,Default,No Previous Default
153,24,55000,Rent,4.0,Homeimprovement,D,25000,15.31,1,0.45,Y,4,Default,Previous Default
154,23,55000,Rent,4.0,Education,B,25000,11.36,1,0.45,N,3,Default,No Previous Default
155,23,55000,Rent,4.0,Education,D,25000,15.65,1,0.45,Y,3,Default,Previous Default
156,24,55164,Rent,8.0,Personal,C,25000,13.22,1,0.45,Y,4,Default,Previous Default
157,26,56000,Rent,4.0,Debtconsolidation,C,25000,12.87,1,0.45,N,2,Default,No Previous Default
158,24,203500,Own,8.0,Medical,C,20000,13.04,0,0.1,N,3,Non-Default,No Previous Default
159,23,190000,Mortgage,5.0,Education,F,22000,17.58,1,0.12,Y,3,Default,Previous Default
160,23,13920,Own,2.0,Personal,E,7750,17.04,1,0.56,N,4,Default,No Previous Default
161,24,60000,Rent,0.0,Personal,B,25000,10.99,1,0.42,N,3,Default,No Previous Default
162,24,60000,Rent,2.0,Personal,B,25000,11.11,1,0.42,N,3,Default,No Previous Default
163,26,54000,Rent,7.0,Debtconsolidation,D,25000,14.83,1,0.46,Y,2,Default,Previous Default
164,23,14000,Own,2.0,Debtconsolidation,D,4000,15.31,1,0.29,N,3,Default,No Previous Default
165,24,200000,Rent,8.0,Medical,B,12000,12.69,0,0.06,N,2,Non-Default,No Previous Default
166,24,200000,Mortgage,8.0,Homeimprovement,C,12000,13.49,0,0.06,N,2,Non-Default,No Previous Default
167,21,200000,Mortgage,5.0,Education,C,16000,14.65,0,0.08,N,4,Non-Default,No Previous Default
168,25,54000,Rent,3.0,Homeimprovement,E,25000,16.82,1,0.46,N,4,Default,No Previous Default
169,23,60000,Rent,3.0,Personal,C,25000,12.73,1,0.42,N,3,Default,No Previous Default
170,23,60000,Rent,7.0,Personal,B,25000,10.25,1,0.42,N,4,Default,No Previous Default
171,21,60000,Rent,6.0,Education,B,25000,10.99,1,0.42,N,4,Default,No Previous Default
172,25,61959,Rent,9.0,Medical,C,25000,12.73,1,0.4,N,2,Default,No Previous Default
173,22,56400,Rent,2.0,Homeimprovement,D,25000,14.96,1,0.44,Y,3,Default,Previous Default
174,23,200000,Mortgage,7.0,Education,A,28000,7.49,0,0.14,N,2,Non-Default,No Previous Default
175,21,200000,Mortgage,2.0,Debtconsolidation,C,25000,13.99,0,0.13,N,2,Non-Default,No Previous Default
176,24,200000,Mortgage,3.0,Venture,A,24000,7.49,0,0.12,N,4,Non-Default,No Previous Default
177,26,200000,Mortgage,4.0,Education,C,15000,14.79,0,0.07,N,3,Non-Default,No Previous Default
178,25,200000,Mortgage,2.0,Debtconsolidation,B,15500,11.99,0,0.08,N,2,Non-Default,No Previous Default
179,24,200000,Rent,8.0,Education,A,10000,8.49,0,0.05,N,4,Non-Default,No Previous Default
180,24,66000,Rent,3.0,Education,B,25000,9.91,1,0.38,N,2,Default,No Previous Default
181,22,66000,Rent,6.0,Education,C,25000,13.06,1,0.38,Y,3,Default,Previous Default
182,22,200000,Mortgage,6.0,Debtconsolidation,A,9000,6.17,0,0.04,N,4,Non-Default,No Previous Default
183,25,200000,Rent,5.0,Education,D,18000,16.32,0,0.09,N,3,Non-Default,No Previous Default
184,25,200000,Mortgage,2.0,Venture,B,12000,10.38,0,0.06,N,2,Non-Default,No Previous Default
185,25,200000,Mortgage,9.0,Personal,C,23050,14.35,0,0.12,N,3,Non-Default,No Previous Default
186,24,200000,Mortgage,8.0,Debtconsolidation,B,20000,10.99,0,0.1,N,3,Non-Default,No Previous Default
187,24,60000,Rent,2.0,Debtconsolidation,E,25000,16.82,1,0.42,Y,2,Default,Previous Default
188,21,14400,Own,0.0,Homeimprovement,B,3000,10.99,1,0.21,N,4,Default,No Previous Default
189,26,66996,Rent,10.0,Personal,D,25000,15.21,1,0.37,Y,2,Default,Previous Default
190,23,67000,Rent,3.0,Education,A,25000,7.9,1,0.37,N,4,Default,No Previous Default
191,24,67000,Rent,2.0,Venture,B,25000,10.99,1,0.37,N,3,Default,No Previous Default
192,24,68000,Rent,5.0,Personal,D,25000,14.09,1,0.37,Y,3,Default,Previous Default
193,25,69000,Rent,9.0,Personal,D,25000,17.49,1,0.36,N,2,Default,No Previous Default
194,25,200000,Mortgage,0.0,Education,B,12000,11.48,0,0.06,N,3,Non-Default,No Previous Default
195,26,188000,Mortgage,10.0,Venture,E,20000,17.74,1,0.11,N,2,Default,No Previous Default
196,26,200000,Mortgage,4.0,Personal,C,3000,13.92,0,0.01,N,3,Non-Default,No Previous Default
197,25,69996,Rent,9.0,Education,D,25000,15.21,1,0.36,N,3,Default,No Previous Default
198,22,14400,Own,2.0,Medical,B,4000,10.99,1,0.28,N,3,Default,No Previous Default
199,24,70000,Rent,3.0,Education,B,25000,11.86,1,0.36,N,4,Default,No Previous Default
200,24,14400,Own,5.0,Personal,A,6000,7.49,1,0.42,N,3,Default,No Previous Default
201,24,56100,Rent,7.0,Medical,D,25000,16.49,1,0.38,N,4,Default,No Previous Default
202,25,66000,Rent,9.0,Venture,D,25000,15.33,1,0.38,Y,2,Default,Previous Default
203,26,66000,Rent,3.0,Homeimprovement,B,25000,11.58,1,0.38,N,4,Default,No Previous Default
204,25,14400,Own,7.0,Education,A,5375,5.79,1,0.37,N,2,Default,No Previous Default
205,25,72612,Rent,9.0,Medical,C,25000,13.11,1,0.34,N,2,Default,No Previous Default
206,23,74000,Rent,3.0,Medical,B,25000,10.36,1,0.34,N,3,Default,No Previous Default
207,25,75000,Rent,9.0,Debtconsolidation,B,25000,10.36,1,0.33,N,2,Default,No Previous Default
208,24,192000,Rent,0.0,Medical,C,22000,13.48,0,0.11,Y,2,Non-Default,Previous Default
209,21,192000,Mortgage,50.0,Venture,A,20000,6.54,0,0.1,N,4,Non-Default,No Previous Default
210,25,191000,Mortgage,1.0,Medical,B,10000,12.53,0,0.05,N,4,Non-Default,No Previous Default
211,26,190300,Mortgage,5.0,Personal,A,15000,7.49,0,0.08,N,3,Non-Default,No Previous Default
212,22,190000,Mortgage,3.0,Venture,C,10000,13.48,0,0.05,N,3,Non-Default,No Previous Default
213,24,75000,Rent,4.0,Education,B,25000,10.25,1,0.33,N,4,Default,No Previous Default
214,22,71000,Rent,1.0,Education,D,25000,15.95,1,0.35,Y,4,Default,Previous Default
215,26,190000,Mortgage,3.0,Venture,B,20000,12.18,0,0.11,N,4,Non-Default,No Previous Default
216,23,189996,Own,0.0,Personal,B,24000,11.83,0,0.13,N,3,Non-Default,No Previous Default
217,23,78000,Rent,7.0,Debtconsolidation,C,25000,13.48,1,0.32,Y,2,Default,Previous Default
218,23,78000,Rent,1.0,Venture,B,25000,10.62,1,0.32,N,3,Default,No Previous Default
219,23,78504,Rent,7.0,Venture,B,25000,10.74,1,0.32,N,3,Default,No Previous Default
220,25,186000,Own,9.0,Venture,B,10000,10.25,0,0.05,N,4,Non-Default,No Previous Default
221,24,185000,Mortgage,4.0,Education,B,35000,12.42,0,0.19,N,2,Non-Default,No Previous Default
222,25,185000,Rent,6.0,Venture,C,15000,15.27,0,0.08,N,2,Non-Default,No Previous Default
223,24,62050,Rent,8.0,Medical,D,25000,15.33,1,0.34,Y,2,Default,Previous Default
224,23,79416,Rent,7.0,Venture,D,25000,15.21,1,0.31,Y,2,Default,Previous Default
225,21,14400,Own,4.0,Venture,C,6250,14.72,1,0.43,N,2,Default,No Previous Default
226,24,79631,Rent,8.0,Personal,D,25000,15.7,1,0.31,Y,2,Default,Previous Default
227,24,79632,Rent,0.0,Education,C,25000,13.35,1,0.31,N,4,Default,No Previous Default
228,21,14400,Mortgage,0.0,Medical,C,1500,13.48,0,0.1,N,4,Non-Default,No Previous Default
229,24,80000,Rent,6.0,Education,A,25000,6.62,1,0.31,N,2,Default,No Previous Default
230,26,80000,Rent,5.0,Debtconsolidation,C,25000,13.61,1,0.31,N,4,Default,No Previous Default
231,22,185000,Rent,4.0,Medical,B,25000,11.36,0,0.14,N,2,Non-Default,No Previous Default
232,26,185000,Own,10.0,Personal,A,5000,7.68,0,0.03,N,2,Non-Default,No Previous Default
233,24,184992,Rent,7.0,Homeimprovement,D,22000,14.46,0,0.12,Y,4,Non-Default,Previous Default
234,23,184000,Own,5.0,Education,B,2500,11.83,0,0.01,N,2,Non-Default,No Previous Default
235,24,172000,Mortgage,6.0,Debtconsolidation,C,20000,13.47,1,0.12,Y,4,Default,Previous Default
236,24,183000,Mortgage,2.0,Medical,B,20000,11.49,0,0.11,N,3,Non-Default,No Previous Default
237,22,183000,Mortgage,3.0,Education,A,1000,7.49,0,0.01,N,2,Non-Default,No Previous Default
238,25,182952,Mortgage,9.0,Personal,A,15000,6.03,0,0.08,N,3,Non-Default,No Previous Default
239,23,74004,Rent,7.0,Debtconsolidation,E,25000,16.35,1,0.34,N,4,Default,No Previous Default
240,26,74004,Rent,10.0,Debtconsolidation,D,25000,15.31,1,0.34,Y,4,Default,Previous Default
241,25,81000,Rent,5.0,Debtconsolidation,A,25000,7.29,1,0.31,N,3,Default,No Previous Default
242,23,81600,Rent,1.0,Medical,B,25000,11.36,1,0.31,N,3,Default,No Previous Default
243,24,82000,Rent,8.0,Venture,B,25000,10.25,0,0.3,N,2,Non-Default,No Previous Default
244,24,83000,Rent,5.0,Education,B,25000,11.12,0,0.3,N,3,Non-Default,No Previous Default
245,24,83000,Rent,5.0,Personal,D,25000,12.92,0,0.3,Y,3,Non-Default,Previous Default
246,24,180000,Rent,8.0,Education,E,18000,18.64,0,0.1,Y,4,Non-Default,Previous Default
247,23,180000,Mortgage,8.0,Personal,A,28000,7.51,0,0.16,N,3,Non-Default,No Previous Default
248,23,14400,Own,2.0,Homeimprovement,E,4000,16.7,1,0.28,N,2,Default,No Previous Default
249,22,14400,Own,0.0,Personal,B,2100,11.14,0,0.15,N,4,Non-Default,No Previous Default
250,22,84500,Rent,6.0,Personal,F,25000,18.3,0,0.3,N,4,Non-Default,No Previous Default
251,24,85000,Rent,5.0,Medical,B,25000,10.62,0,0.29,N,4,Non-Default,No Previous Default
252,24,180000,Mortgage,7.0,Venture,B,14000,11.99,0,0.08,N,2,Non-Default,No Previous Default
253,26,180000,Mortgage,2.0,Venture,B,12000,9.63,0,0.07,N,4,Non-Default,No Previous Default
254,25,142800,Mortgage,9.0,Medical,F,10000,18.25,1,0.06,N,4,Default,No Previous Default
255,23,14664,Mortgage,0.0,Debtconsolidation,C,6000,13.48,1,0.41,N,4,Default,No Previous Default
256,24,87000,Rent,8.0,Homeimprovement,D,25000,14.84,0,0.29,N,3,Non-Default,No Previous Default
257,24,75000,Rent,0.0,Venture,E,25000,14.7,1,0.33,Y,3,Default,Previous Default
258,23,76000,Rent,7.0,Debtconsolidation,D,25000,16.02,1,0.33,N,4,Default,No Previous Default
259,23,66215,Rent,1.0,Medical,D,25000,15.37,1,0.32,Y,2,Default,Previous Default
260,25,90000,Rent,9.0,Medical,B,25000,10.99,0,0.28,N,4,Non-Default,No Previous Default
261,21,15000,Own,0.0,Homeimprovement,A,6200,7.9,1,0.41,N,2,Default,No Previous Default
262,26,180000,Own,2.0,Personal,B,25000,10.99,0,0.14,N,4,Non-Default,No Previous Default
263,24,180000,Own,8.0,Education,B,21000,11.48,0,0.12,N,3,Non-Default,No Previous Default
264,25,180000,Own,9.0,Medical,C,20000,14.26,0,0.11,Y,4,Non-Default,Previous Default
265,26,180000,Own,0.0,Homeimprovement,A,10000,8.0,0,0.06,N,4,Non-Default,No Previous Default
266,25,180000,Mortgage,3.0,Venture,B,9950,11.26,0,0.06,N,2,Non-Default,No Previous Default
267,23,15000,Own,7.0,Medical,B,4475,10.99,1,0.3,N,4,Default,No Previous Default
268,23,78000,Rent,2.0,Venture,D,25000,16.32,1,0.32,Y,3,Default,Previous Default
269,25,66300,Rent,3.0,Medical,E,25000,17.93,1,0.32,Y,4,Default,Previous Default
270,23,90000,Rent,0.0,Debtconsolidation,B,25000,11.36,0,0.28,N,3,Non-Default,No Previous Default
271,24,79000,Rent,9.0,Debtconsolidation,D,25000,14.96,1,0.32,Y,4,Default,Previous Default
272,24,91800,Rent,4.0,Personal,C,25000,13.43,0,0.27,Y,3,Non-Default,Previous Default
273,25,92000,Rent,6.0,Homeimprovement,B,25000,12.69,0,0.27,N,3,Non-Default,No Previous Default
